,Symbol,Security,GICS Sector,text
0,MMM,3M Company,Industrials,"The 3M Company, formerly known as the Minnesota Mining and Manufacturing Company, is an American multinational conglomerate corporation operating in the fields of industry, worker safety, health care, and consumer goods. The company produces over 60,000 products under several world-renowned brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical & electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, Minnesota, a suburb of St. Paul."
1,ABT,Abbott Laboratories,Health Care,"Abbott Laboratories is an American medical devices and health care company with headquarters in the Abbott Park Business Center in Lake Bluff, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off the research-based pharmaceuticals into AbbVie in 2013."
2,ABBV,AbbVie Inc.,Health Care,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.
3,ABMD,Abiomed,Health Care,"Abiomed is a manufacturer of medical implant devices, including the AbioCor artificial heart and Impella. It is headquartered in Danvers, Massachusetts and has three additional offices, two in Germany in the cities of Berlin and Aachen, and another in Japan. Michael R. Minogue joined Abiomed in 2004, and serves as CEO, Chairman and President. For fiscal year 2017, Abiomed reported $445.3 million in revenue and reported diluted earnings per share was $1.17 for the year."
4,ACN,Accenture,Information Technology,"Accenture plc, stylised as accenture, is an Irish-domiciled multinational professional services company that provides services in strategy, consulting, digital, technology and operations. A Fortune Global 500 company, it has been incorporated in Dublin, Ireland since September 1, 2009. In 2019, the company reported net revenues of $43.2 billion, with more than 492,000 employees serving clients in more than 200 cities in 120 countries. In 2015, the company had about 150,000 employees in India, 48,000 in the US, and 50,000 in the Philippines. Accenture's current clients include 92 of the Fortune Global 100 and more than three-quarters of the Fortune Global 500."
5,ATVI,Activision Blizzard,Communication Services,"Activision Blizzard, Inc. is an American video game holding company based in Santa Monica, California. The company was founded in July 2008 through the merger of Activision, Inc. (the publicly traded parent company of Activision Publishing) and Vivendi Games. The company is traded on the NASDAQ stock exchange under the ticker symbol ATVI, and since 2015 has been one of the stocks that make up the S&P 500. Activision Blizzard currently includes five business units: Activision Publishing, Blizzard Entertainment, King, Major League Gaming, and Activision Blizzard Studios."
6,ADBE,Adobe Inc.,Information Technology,"Adobe Inc. ( ə-DOH-bee, until October 3, 2018 Adobe Systems Incorporated) is an American multinational computer software company headquartered in San Jose, California. It has historically focused upon the creation of multimedia and creativity software products, with a more recent foray towards digital marketing software. Adobe is best known for its Adobe Flash web software ecosystem, Photoshop image editing software, Adobe Illustrator vector graphics editor, Acrobat Reader, the Portable Document Format (PDF), and Adobe Creative Suite, as well as its successor Adobe Creative Cloud."
7,AMD,Advanced Micro Devices,Information Technology,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara County, California that develops computer processors and related technologies for business and consumer markets. While initially it manufactured its own processors, the company later outsourced its manufacturing, a practice known as going fabless, after GlobalFoundries was spun off in 2009. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications."
8,AAP,Advance Auto Parts,Consumer Discretionary,"Advance Auto Parts, Inc. (Advance) is an American automotive aftermarket parts provider. Headquartered in Raleigh, North Carolina, it serves both professional installer and do-it-yourself (DIY) customers. As of July 13, 2019, Advance operated 4,912 stores and 150 Worldpac branches in the United States and Canada. The Company also serves 1,250 independently owned Carquest branded stores across these locations in addition to Mexico, the Bahamas, Turks and Caicos and British Virgin Islands. The company's stores and branches offer a broad selection of brand name, original equipment manufacturer (OEM) and private label automotive replacement parts, accessories, batteries and maintenance items for domestic and imported cars, vans, sport utility vehicles and light and heavy duty trucks."
9,AES,AES Corp,Utilities,"The AES Corporation is a Fortune 500 company that generates and distributes electrical power. AES is headquartered in Arlington, Virginia, and is one of the world's leading power companies, generating and distributing electric power in 15 countries and employing 10,500 people worldwide."
